school_support,parent_engagement,study_time_weekly,absences,midterm_score
yes,Medium,21,2,67
no,Low,11,8,46
no,High,24,8,95
yes,Low,7,8,51
yes,Medium,17,2,67
no,High,18,7,98
no,High,5,0,98
no,High,13,3,37
no,Medium,10,0,31
no,Low,16,5,37
no,Medium,7,7,71
no,High,7,11,90
no,High,8,14,97
no,Low,24,24,77
yes,High,10,10,60
no,High,21,6,96
yes,Medium,18,21,33
no,Low,23,15,58
no,Medium,8,3,36
no,Medium,10,8,88
no,Low,9,19,96
no,Medium,23,12,44
no,High,6,3,67
no,Medium,24,1,39
no,Medium,2,22,99
no,High,4,3,80
no,Low,23,1,94
no,High,6,6,44
no,High,4,4,86
no,Medium,19,4,50
no,Medium,13,5,98
yes,Medium,22,8,59
no,Low,11,0,33
no,High,6,9,60
yes,High,24,2,73
no,High,18,8,39
no,High,2,13,73
no,High,17,9,46
yes,High,16,7,77
no,High,22,13,88
no,Medium,7,11,58
no,High,3,6,98
no,Low,23,30,70
no,Medium,19,5,95
no,Low,20,25,84
no,High,14,4,35
no,High,2,5,45
no,Low,6,4,76
no,Medium,17,15,72
no,Low,12,17,33
yes,Medium,3,3,39
no,Low,24,6,59
no,Low,15,9,51
no,High,2,1,83
no,Medium,10,6,44
yes,Medium,10,0,34
no,High,15,15,48
no,High,2,1,88
no,Low,8,8,91
no,Medium,24,5,35
no,High,22,7,34
no,High,15,9,81
no,Medium,5,21,64
no,Medium,23,13,85
no,Medium,14,4,67
no,Medium,17,3,45
no,Medium,23,6,57
no,High,13,7,90
no,Medium,10,11,80
no,High,17,9,56
no,High,12,2,64
no,Medium,6,13,49
no,High,8,8,30
no,High,24,0,37
yes,Medium,10,5,83
yes,Low,5,4,82
yes,High,22,24,71
no,High,22,3,67
yes,Medium,14,3,30
no,Medium,17,2,44
no,Low,8,5,49
no,High,14,13,30
no,Medium,5,12,60
no,High,23,10,91
no,High,9,4,87
yes,High,9,4,74
no,Medium,11,18,83
no,Medium,18,1,92
no,High,6,34,93
yes,Medium,11,0,66
no,Low,18,3,56
no,High,18,5,79
no,High,5,2,48
no,Medium,23,7,31
