school_support,parent_engagement,study_time_weekly,absences,midterm_score,final_outcome
no,Medium,12,3,59,1
,High,16,7,75,1
no,High,12,4,50,1
no,High,18,8,77,1
yes,Medium,18,5,91,1
yes,Low,7,12,87,1
yes,Medium,6,5,47,1
no,Medium,9,2,88,1
no,High,3,13,77,1
no,nan,17,2,92,1
yes,Medium,21,-5,41,1
,Medium,13,2,63,1
no,High,7,11,90,1
yes,Low,2,14,82,1
yes,Medium,5,13,54,1
yes,High,18,2,91,1
no,High,14,3,33,1
no,Medium,19,6,42,1
no,Medium,6,9,71,1
no,High,4,6,78,1
no,nan,12,5,85,1
yes,High,14,13,76,1
no,Medium,5,4,37,1
no,Low,15,1,84,1
no,Medium,23,12,47,1
no,Medium,12,21,150,1
yes,Medium,11,9,61,1
no,High,20,9,53,1
no,nan,19,25,36,0
yes,Medium,7,8,42,1
no,Low,16,13,98,1
yes,High,22,15,71,1
yes,High,11,14,60,1
no,High,6,10,55,1
,Medium,6,5,61,1
no,High,11,3,81,1
no,Low,6,7,49,1
yes,Medium,4,3,69,1
no,nan,24,9,88,1
no,High,7,2,43,1
yes,Low,5,17,73,1
no,Low,19,7,77,1
yes,Low,10,4,72,1
no,Low,18,3,45,1
no,Low,14,9,64,1
no,Medium,16,1,82,1
no,High,21,24,63,1
no,High,18,17,32,0
no,Low,14,8,97,1
yes,Medium,17,2,34,1
,Low,23,11,39,1
no,Medium,5,4,81,1
no,High,6,7,58,1
no,High,6,9,60,1
no,Medium,10,13,95,1
no,Medium,18,4,98,1
yes,High,14,16,66,1
yes,Medium,3,3,56,1
yes,High,14,8,62,1
no,Medium,23,16,97,1
no,High,22,13,88,1
no,Low,24,11,93,1
no,High,20,11,73,1
no,Medium,4,1,78,1
no,High,11,1,82,1
no,High,3,9,78,1
yes,Medium,14,11,95,1
no,Medium,20,3,92,1
yes,Medium,18,0,54,1
,High,22,0,33,1
no,Medium,15,30,80,1
yes,Low,13,16,40,0
yes,Low,22,21,46,1
no,High,13,8,95,1
no,Medium,12,11,99,1
no,High,8,7,98,1
no,High,5,27,58,0
yes,nan,20,0,49,1
no,High,2,0,56,1
yes,Medium,4,6,37,1
no,Medium,14,13,90,1
no,Medium,16,7,57,1
no,Medium,3,7,99,1
yes,High,12,1,32,1
no,High,5,0,98,1
no,Medium,20,13,36,1
no,High,18,8,89,1
no,High,4,7,33,1
no,High,19,12,34,1
no,High,9,20,40,0
yes,Medium,23,4,44,1
no,High,20,15,93,1
no,Medium,6,12,42,1
no,Medium,8,3,36,1
no,Low,22,1,35,1
no,High,9,10,85,1
no,High,6,34,93,0
no,High,18,5,79,1
yes,Medium,6,2,59,1
yes,Medium,5,8,51,1
yes,High,23,6,54,1
no,Low,20,2,57,1
no,High,22,0,68,1
no,Medium,3,5,96,1
no,Medium,12,2,34,1
no,Low,23,1,94,1
no,Medium,14,2,44,1
no,Low,16,9,96,1
yes,High,13,8,69,1
yes,Low,23,15,98,1
no,High,22,6,72,1
yes,Low,23,12,30,1
no,Medium,12,15,51,1
no,Low,8,8,91,1
no,Medium,6,0,55,1
no,Medium,18,4,47,1
no,Medium,21,7,77,1
yes,Medium,10,1,38,1
no,High,15,1,30,1
no,High,13,35,38,0
no,High,7,6,52,1
no,High,18,15,74,1
no,Low,20,27,31,0
yes,High,20,2,43,1
yes,nan,17,2,67,1
no,High,13,4,69,1
no,High,13,4,92,1
no,Low,21,9,45,1
yes,Medium,7,8,35,1
no,Medium,24,3,32,1
no,Medium,5,21,43,0
yes,Medium,7,0,95,1
yes,High,12,10,96,1
no,nan,2,15,60,1
no,nan,24,14,62,1
no,Medium,16,8,30,1
no,High,12,4,73,1
no,Medium,20,1,44,1
no,High,19,7,66,1
,High,18,6,56,1
,High,20,9,77,1
no,Medium,22,1,56,1
no,Low,15,13,41,1
no,Medium,19,13,96,1
no,Medium,20,7,59,1
yes,Medium,16,1,95,1
no,High,16,8,36,1
no,High,5,14,63,1
yes,nan,8,1,61,1
no,High,14,1,68,1
no,Low,4,26,72,0
no,Medium,17,15,72,1
yes,Medium,10,10,32,1
no,Medium,9,7,75,1
,Medium,21,31,61,0
no,Low,14,5,72,1
no,Low,18,9,32,1
no,Medium,18,0,92,1
no,High,18,3,69,1
no,Medium,2,23,47,0
no,Low,9,19,96,1
no,High,20,6,91,1
no,Medium,7,3,39,1
no,Medium,4,4,81,1
yes,Medium,6,4,75,1
no,High,14,3,84,1
no,Medium,16,2,75,1
yes,Low,15,14,89,1
yes,High,24,2,55,1
no,High,17,9,56,1
no,nan,19,15,67,1
yes,High,23,0,51,1
no,Low,23,4,55,1
yes,Medium,12,12,98,1
no,High,4,1,64,1
yes,Low,23,5,95,1
no,Medium,11,19,80,1
no,Medium,11,9,47,1
no,High,22,7,72,1
yes,Medium,17,0,41,1
no,High,13,11,32,1
yes,Medium,3,4,36,1
no,nan,10,41,35,0
no,High,4,4,74,1
no,Medium,16,11,68,1
no,High,4,3,80,1
no,Low,20,2,38,1
no,High,19,0,52,1
no,nan,9,3,41,1
no,Medium,18,24,91,1
yes,High,9,2,69,1
no,High,8,6,83,1
no,High,8,9,36,1
no,Medium,4,11,46,1
no,High,2,12,79,1
no,Low,5,3,53,1
no,Medium,6,15,31,0
no,High,2,3,62,1
no,Medium,16,14,50,1
no,Medium,6,11,82,1
no,High,14,6,75,1
yes,High,9,1,74,1
yes,High,9,12,38,1
no,Medium,6,2,35,1
no,Medium,10,8,80,1
yes,Medium,2,7,64,1
yes,Low,5,4,82,1
no,Low,4,9,48,1
yes,Medium,3,4,98,1
yes,Low,9,13,54,1
no,High,24,5,40,1
no,High,10,5,46,1
no,High,3,9,65,1
yes,High,15,0,50,1
no,Medium,15,2,47,1
no,Low,5,7,89,1
no,High,7,3,47,1
no,High,12,15,30,0
no,Medium,4,2,43,1
no,Low,9,8,37,1
no,High,4,14,95,1
no,Medium,15,11,80,1
yes,High,14,2,89,1
no,High,14,4,63,1
no,nan,3,5,65,1
no,nan,14,5,91,1
,High,20,14,30,1
no,nan,7,7,71,1
no,Medium,17,0,30,1
no,Low,3,0,83,1
no,Medium,9,6,76,1
no,Medium,18,0,68,1
no,Medium,24,4,59,1
no,Medium,3,5,36,1
yes,High,11,5,51,1
no,High,17,16,79,1
no,High,7,7,74,1
yes,Medium,3,3,39,1
no,High,3,2,43,1
yes,Medium,14,10,75,1
no,nan,16,9,35,1
,High,3,7,50,1
no,Medium,8,10,91,1
no,Medium,4,14,48,0
yes,Low,9,16,91,1
no,High,24,3,82,1
no,Medium,15,5,53,1
,Low,24,26,85,1
,Low,23,3,91,1
no,Medium,8,0,63,1
no,Medium,22,9,51,1
no,Medium,8,11,97,1
no,Low,2,4,86,1
no,Medium,18,0,39,1
yes,High,10,8,95,1
no,Low,22,4,37,1
no,Medium,14,4,67,1
no,Medium,22,13,91,1
no,High,20,5,57,1
yes,Medium,22,8,39,1
no,Medium,20,19,74,1
,Medium,23,6,94,1
yes,High,18,19,96,1
no,Medium,24,3,38,1
no,nan,24,14,34,1
no,High,11,5,39,1
no,nan,11,12,41,1
no,Medium,5,8,87,1
no,Low,9,17,50,0
no,Low,23,2,50,1
no,Medium,21,7,94,1
no,Medium,21,9,32,1
no,Low,19,3,98,1
no,Medium,15,0,93,1
no,High,19,6,78,1
no,Medium,15,11,46,1
no,Low,21,4,61,1
no,Low,22,8,99,1
no,Low,16,4,50,1
no,Medium,23,2,36,1
no,Low,5,2,36,1
no,High,14,1,56,1
no,Medium,24,0,37,1
yes,High,9,22,57,0
no,High,19,12,95,1
yes,High,13,6,76,1
no,Medium,24,1,39,1
no,Medium,15,5,62,1
no,Medium,3,9,36,0
no,Medium,19,2,32,1
yes,High,3,2,43,1
yes,High,12,9,73,1
no,High,10,11,75,1
no,High,13,7,90,1
yes,Medium,18,3,65,1
no,Medium,16,6,42,1
no,Medium,18,9,45,1
yes,Medium,19,13,34,1
no,High,23,21,67,1
yes,Low,7,4,79,1
yes,Medium,18,14,67,1
no,Medium,24,16,85,1
no,High,19,11,92,1
no,High,9,26,77,1
no,Medium,10,8,88,1
,Medium,7,3,73,1
no,Medium,6,3,84,1
no,Medium,13,5,84,1
no,Medium,12,10,30,1
no,Low,2,0,37,1
no,Low,12,17,33,0
yes,Medium,20,3,82,1
yes,nan,10,5,87,1
,High,3,1,66,1
no,High,13,1,78,1
no,High,5,5,96,1
no,Medium,5,15,48,0
yes,Low,19,17,30,0
yes,High,16,5,58,1
no,Low,20,11,62,1
no,High,14,2,81,1
no,Low,20,9,70,1
no,High,18,2,52,1
no,High,7,7,34,1
,Medium,17,14,86,1
no,High,13,5,35,1
no,High,20,9,78,1
no,High,6,9,51,1
no,Low,18,23,33,0
no,Medium,24,14,93,1
no,High,2,6,66,1
no,Medium,24,5,60,1
yes,Medium,11,0,66,1
yes,High,16,13,74,1
yes,Medium,24,9,37,1
yes,High,22,5,69,1
no,High,22,7,34,1
no,Medium,12,4,57,1
no,High,14,5,38,1
yes,Medium,6,13,31,0
no,Medium,2,13,92,1
no,High,13,1,80,1
yes,Medium,12,8,60,1
no,High,18,11,36,1
no,nan,5,3,59,1
no,Medium,16,4,87,1
no,Low,10,7,32,1
yes,Medium,22,5,80,1
no,High,21,19,85,1
no,Medium,20,16,39,1
no,nan,20,2,90,1
no,Medium,13,7,79,1
no,Low,6,4,76,1
yes,Low,11,8,30,1
yes,High,18,7,86,1
no,High,6,3,67,1
yes,Medium,23,15,91,1
no,Medium,17,6,99,1
no,Low,8,11,94,1
no,Low,10,22,91,1
no,High,4,3,85,1
no,High,16,2,96,1
no,Low,17,5,46,1
no,High,19,4,37,1
no,Low,15,5,89,1
no,Medium,4,8,69,1
,Medium,13,19,91,1
no,High,10,7,70,1
yes,Medium,8,26,41,0
yes,Medium,10,5,83,1
yes,Medium,14,7,40,1
yes,High,19,10,89,1
yes,Medium,6,6,97,1
no,Low,14,4,75,1
yes,High,5,10,67,1
no,High,3,2,90,1
no,High,17,9,46,1
yes,Medium,10,4,95,1
no,Medium,10,14,65,1
no,Medium,7,1,36,1
yes,High,12,12,45,1
no,Medium,23,5,43,1
no,Medium,23,6,54,1
no,Medium,2,11,33,0
no,nan,5,13,58,1
no,High,14,8,85,1
no,Medium,24,5,35,1
yes,Medium,14,3,30,1
no,Medium,14,12,68,1
no,Medium,3,1,30,1
,Medium,10,12,92,1
no,nan,9,5,86,1
no,High,8,1,96,1
no,High,5,6,94,1
no,Medium,19,2,94,1
no,Medium,4,2,50,1
no,High,7,15,59,1
no,High,13,4,62,1
no,High,13,10,77,1
no,Low,22,0,51,1
yes,High,9,5,83,1
no,High,23,11,33,1
no,High,23,8,84,1
no,High,2,11,73,1
no,High,5,16,41,0
no,Medium,22,10,81,1
no,High,12,3,94,1
yes,Low,4,0,94,1
no,High,14,5,39,1
yes,Medium,18,27,47,0
no,Low,23,6,76,1
,Medium,23,12,95,1
,Medium,11,8,78,1
no,High,22,5,51,1
no,High,13,1,55,1
no,Medium,16,1,38,1
no,nan,22,9,50,1
no,Medium,11,16,92,1
no,Medium,15,8,35,1
no,Medium,14,12,43,1
no,Medium,6,3,62,1
no,High,7,3,53,1
yes,Medium,3,6,80,1
no,nan,23,7,31,1
yes,High,18,10,44,1
no,Medium,5,21,64,0
no,High,15,11,65,1
no,Medium,11,6,68,1
no,High,4,6,33,1
yes,Medium,4,32,93,0
yes,Medium,16,0,35,1
no,High,7,7,86,1
no,Medium,18,19,59,1
yes,Low,13,12,96,1
yes,Low,23,7,44,1
no,High,21,12,46,1
yes,Medium,12,5,47,1
no,High,5,2,48,1
no,nan,7,3,98,1
yes,Low,2,6,53,1
yes,Medium,21,9,77,1
,Low,24,6,59,1
no,Medium,17,3,44,1
no,Medium,16,6,76,1
no,High,18,1,73,1
no,Medium,9,10,56,1
,High,13,1,93,1
no,Low,23,30,70,1
no,Low,22,8,97,1
yes,Medium,11,4,34,1
no,High,16,8,82,1
no,High,10,0,37,1
no,High,3,5,51,1
no,High,6,6,36,1
yes,High,7,10,51,1
no,Low,8,7,75,1
yes,Medium,22,8,59,1
no,High,2,5,45,1
yes,Medium,24,4,34,1
yes,Medium,8,12,96,1
yes,Medium,21,5,52,1
no,Medium,13,29,90,1
no,Low,17,21,34,0
no,Medium,17,1,52,1
,nan,12,6,54,1
no,Low,22,8,37,1
no,High,5,5,50,1
no,Low,14,1,31,1
yes,High,8,19,51,0
,Low,5,8,97,1
yes,Medium,16,34,93,1
,Low,20,14,48,1
yes,Low,10,3,82,1
no,Low,12,3,81,1
no,Low,9,10,76,1
,High,2,1,83,1
yes,High,24,2,73,1
no,Medium,9,9,36,1
,High,14,13,30,0
no,Medium,23,1,92,1
no,High,5,15,68,1
no,nan,9,18,48,0
no,Medium,4,5,60,1
no,Low,10,2,53,1
no,High,3,6,98,1
no,Low,3,3,94,1
yes,Low,14,1,62,1
no,Medium,16,4,88,1
,Medium,24,6,62,1
no,Low,13,7,61,1
no,High,5,24,88,1
no,Medium,9,3,70,1
no,Medium,10,5,41,1
yes,High,24,6,40,1
no,High,6,4,48,1
no,High,21,13,83,1
no,High,19,7,86,1
yes,High,12,7,71,1
,nan,16,8,60,1
,Medium,23,7,81,1
no,nan,10,0,31,1
no,Medium,18,3,67,1
no,High,13,20,61,1
no,Medium,8,2,39,1
no,Medium,11,0,37,1
yes,High,11,8,49,1
no,Medium,14,2,49,1
no,High,20,19,38,0
no,Medium,12,6,44,1
no,Medium,14,3,92,1
no,High,22,7,50,1
no,High,9,5,34,1
no,Low,9,6,64,1
no,Medium,5,0,97,1
yes,High,16,7,77,1
yes,nan,12,6,91,1
no,High,12,2,64,1
no,Medium,2,22,99,1
,nan,18,8,50,1
yes,High,16,4,68,1
no,High,21,2,63,1
no,High,7,19,44,0
,High,23,5,35,1
no,High,16,7,95,1
no,Medium,10,3,85,1
no,High,15,4,78,1
no,Medium,19,8,30,1
no,nan,18,9,94,1
yes,Low,19,3,57,1
no,Medium,6,13,49,1
no,High,21,4,77,1
,Medium,21,16,94,1
,Medium,10,11,80,1
no,Medium,12,9,72,1
no,High,23,2,78,1
no,Low,2,9,54,1
no,Medium,19,8,70,1
no,High,7,21,93,1
no,High,3,5,90,1
yes,Medium,16,0,41,1
,Low,22,0,98,1
no,Medium,15,15,43,1
yes,Low,6,9,63,1
no,High,7,6,77,1
no,Medium,7,23,90,1
no,Medium,23,4,64,1
yes,High,19,5,94,1
no,High,15,10,88,1
no,Low,11,0,65,1
no,High,15,15,48,1
no,Medium,14,19,71,1
no,High,4,10,98,1
no,High,7,5,48,1
no,High,9,11,68,1
no,nan,13,5,98,1
no,Low,14,12,81,1
yes,nan,12,4,41,1
yes,Medium,13,13,76,1
no,High,2,5,65,1
no,Medium,18,1,92,1
no,Medium,17,7,80,1
yes,Low,12,2,72,1
yes,High,14,5,63,1
yes,Medium,19,4,78,1
no,High,12,4,47,1
no,High,13,2,90,1
no,Medium,7,3,86,1
no,Medium,10,13,34,0
no,High,17,6,53,1
no,Medium,5,0,93,1
no,Medium,4,5,88,1
no,Low,17,3,67,1
no,Low,13,8,62,1
no,nan,12,4,39,1
no,Low,6,3,66,1
no,High,19,10,40,1
yes,Medium,20,25,53,0
no,Medium,24,11,50,1
no,High,24,5,49,1
no,Low,7,17,39,0
no,High,23,18,76,1
,Low,19,11,76,1
no,Medium,7,8,44,1
no,Medium,5,10,73,1
no,Medium,13,11,91,1
no,Low,20,2,35,1
yes,Medium,3,2,95,1
yes,Medium,18,21,33,0
yes,High,12,1,52,1
yes,Medium,12,0,42,1
yes,High,22,2,60,1
no,Medium,17,3,45,1
yes,Medium,3,5,70,1
no,Medium,3,10,30,0
no,High,24,18,41,1
no,High,9,2,85,1
no,Medium,14,7,79,1
yes,High,11,8,49,1
yes,High,9,6,95,1
yes,High,5,0,65,1
yes,nan,16,10,67,1
no,Medium,2,25,51,0
yes,High,12,0,90,1
yes,High,8,5,79,1
yes,High,18,16,88,1
no,Low,21,11,49,1
yes,Medium,19,12,65,1
no,High,23,8,44,1
no,High,23,10,91,1
no,High,13,6,32,1
yes,Medium,10,0,34,1
no,Low,6,6,85,1
no,High,11,8,60,1
yes,High,5,1,64,1
no,High,6,3,99,1
no,nan,11,8,55,1
yes,High,12,10,30,1
no,Low,22,10,36,1
no,Medium,11,12,65,1
no,Medium,9,0,54,1
yes,High,3,4,88,1
yes,High,24,26,90,1
no,Medium,9,28,58,0
no,Low,17,7,47,1
no,Medium,23,6,70,1
no,Medium,6,13,48,1
no,High,4,9,33,0
no,nan,13,17,94,1
yes,Low,14,10,70,1
no,High,14,6,44,1
no,nan,11,23,83,1
no,Medium,5,10,93,1
no,Medium,10,6,44,1
no,Medium,23,7,79,1
yes,Low,24,3,51,1
no,Medium,3,9,47,1
